x,y,no2,pm10,pm2.5,NO2_Index,PM10_Index,PM2.5_Index,Worst_Index
370575,5809375,12,14,9,2,1,2,2
370575,5809425,11,14,9,2,1,2,2
370575,5809475,12,14,9,2,1,2,2
370575,5809525,12,14,9,2,1,2,2
370575,5809575,12,14,9,2,1,2,2
370575,5809625,12,14,9,2,1,2,2
370575,5809675,13,14,9,2,1,2,2
370575,5809725,12,14,9,2,1,2,2
370575,5809775,12,14,9,2,1,2,2
370575,5809825,12,14,9,2,1,2,2
370625,5808275,11,14,9,2,1,2,2
370625,5808325,11,15,9,2,1,2,2
370625,5808375,10,15,9,1,1,2,2
370625,5808425,10,15,9,1,1,2,2
370625,5808475,10,15,9,1,1,2,2
370625,5808525,11,15,9,2,1,2,2
370625,5808575,11,14,9,2,1,2,2
370625,5808675,12,14,9,2,1,2,2
370625,5808725,15,19,11,2,2,3,3
370625,5808775,11,14,9,2,1,2,2
370625,5808825,11,14,9,2,1,2,2
370625,5808875,11,14,9,2,1,2,2
370625,5808925,11,14,9,2,1,2,2
370625,5808975,11,14,9,2,1,2,2
370625,5809025,11,14,9,2,1,2,2
370625,5809075,11,14,9,2,1,2,2
370625,5809125,11,14,9,2,1,2,2
370625,5809175,11,14,9,2,1,2,2
370625,5809225,11,14,9,2,1,2,2
370625,5809275,11,14,9,2,1,2,2
370625,5809325,11,14,9,2,1,2,2
370625,5809375,11,14,9,2,1,2,2
370625,5809425,12,14,9,2,1,2,2
370625,5809475,11,14,9,2,1,2,2
370625,5809525,12,14,9,2,1,2,2
370625,5809575,12,14,9,2,1,2,2
370625,5809625,12,14,9,2,1,2,2
370625,5809675,13,14,9,2,1,2,2
370625,5809725,12,14,9,2,1,2,2
370625,5809775,12,14,9,2,1,2,2
370625,5809825,12,14,9,2,1,2,2
370625,5809875,12,14,9,2,1,2,2
370675,5808325,11,14,9,2,1,2,2
370675,5808375,11,15,9,2,1,2,2
370675,5808425,10,15,9,1,1,2,2
370675,5808475,10,14,9,1,1,2,2
370675,5808525,11,14,9,2,1,2,2
370675,5808725,16,19,11,3,2,3,3
370675,5808775,12,16,10,2,2,2,2
370675,5808825,11,14,9,2,1,2,2
370675,5808875,11,14,9,2,1,2,2
370675,5808925,11,14,9,2,1,2,2
370675,5808975,11,14,9,2,1,2,2
370675,5809025,11,14,9,2,1,2,2
370675,5809075,11,14,9,2,1,2,2
370675,5809125,11,14,9,2,1,2,2
370675,5809175,11,15,10,2,1,2,2
370675,5809225,11,14,9,2,1,2,2
370675,5809275,11,14,9,2,1,2,2
370675,5809325,11,14,9,2,1,2,2
370675,5809375,11,14,9,2,1,2,2
370675,5809425,11,14,9,2,1,2,2
370675,5809475,11,14,9,2,1,2,2
370675,5809525,12,14,9,2,1,2,2
370675,5809575,11,14,9,2,1,2,2
370675,5809625,11,14,9,2,1,2,2
370675,5809675,13,14,9,2,1,2,2
370675,5809725,12,14,9,2,1,2,2
370675,5809775,12,14,9,2,1,2,2
370675,5809825,12,14,9,2,1,2,2
370675,5809875,12,14,9,2,1,2,2
370675,5809925,12,14,9,2,1,2,2
370675,5809975,12,14,9,2,1,2,2
370675,5810025,11,14,9,2,1,2,2
370725,5808375,11,14,9,2,1,2,2
370725,5808425,11,14,9,2,1,2,2
370725,5808475,11,14,9,2,1,2,2
370725,5808725,12,14,9,2,1,2,2
370725,5808775,15,19,11,2,2,3,3
370725,5808825,11,14,9,2,1,2,2
370725,5808875,11,14,9,2,1,2,2
370725,5808925,11,14,9,2,1,2,2
370725,5808975,11,14,9,2,1,2,2
370725,5809025,11,14,9,2,1,2,2
370725,5809075,11,14,9,2,1,2,2
370725,5809125,11,14,9,2,1,2,2
370725,5809175,11,14,9,2,1,2,2
370725,5809225,11,14,9,2,1,2,2
370725,5809275,11,14,9,2,1,2,2
370725,5809325,12,14,9,2,1,2,2
370725,5809375,11,14,9,2,1,2,2
370725,5809425,11,14,9,2,1,2,2
370725,5809475,11,14,9,2,1,2,2
370725,5809525,11,14,9,2,1,2,2
370725,5809575,11,14,9,2,1,2,2
370725,5809625,12,14,9,2,1,2,2
370725,5809675,12,14,9,2,1,2,2
370725,5809725,11,14,9,2,1,2,2
370725,5809775,12,14,9,2,1,2,2
370725,5809825,12,14,9,2,1,2,2
370725,5809875,12,14,9,2,1,2,2
370725,5809925,12,14,9,2,1,2,2
370725,5809975,12,14,9,2,1,2,2
370725,5810025,11,14,9,2,1,2,2
370725,5810075,11,14,9,2,1,2,2
370775,5808675,12,14,9,2,1,2,2
370775,5808725,13,14,9,2,1,2,2
370775,5808775,15,19,11,2,2,3,3
370775,5808825,11,14,9,2,1,2,2
370775,5808875,11,14,9,2,1,2,2
370775,5808925,11,14,9,2,1,2,2
370775,5808975,11,14,9,2,1,2,2
370775,5809025,11,14,9,2,1,2,2
370775,5809075,11,14,9,2,1,2,2
370775,5809125,11,14,9,2,1,2,2
370775,5809175,11,14,9,2,1,2,2
370775,5809225,11,14,9,2,1,2,2
370775,5809275,11,14,9,2,1,2,2
370775,5809325,12,14,9,2,1,2,2
370775,5809375,11,14,9,2,1,2,2
370775,5809425,11,14,9,2,1,2,2
370775,5809475,11,14,9,2,1,2,2
370775,5809525,11,14,9,2,1,2,2
370775,5809575,11,14,9,2,1,2,2
370775,5809625,11,14,9,2,1,2,2
370775,5809675,11,15,10,2,1,2,2
370775,5809725,11,14,9,2,1,2,2
370775,5809775,11,14,9,2,1,2,2
370775,5809825,11,14,9,2,1,2,2
370775,5809875,12,14,9,2,1,2,2
370775,5809925,12,14,9,2,1,2,2
370775,5809975,12,14,9,2,1,2,2
370775,5810025,11,14,9,2,1,2,2
370775,5810075,11,14,9,2,1,2,2
370825,5808375,12,14,9,2,1,2,2
